Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43395152,Margaret Yerkine,Peebles,-3.18,55.65,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395160,Ewfame Dundas,Caithness,-3.5,58.41666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395202,Elspeth Rule,Dumfries,-3.616666666,55.06666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395210,Bessie Andro,Wick,-3.089,58.454,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395226,Janet Ross,Fenwick,-4.43333,55.65,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395226,Janet Ross,Fenwick,-4.4412,55.6604,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395231,Barbara Cunninghame,Newton-on-Ayr,-4.625473,55.473285,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395258,Christian Lockhart,Lauder,-2.74855,55.7194,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395275,Marjorie Mongomerie,Elgin,-3.315277777,57.64638889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395299,Margaret Rid,Bathgate,-3.6431,55.9024,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395327,Barbara Home,Kilpunt,-3.444907,55.930768,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395363,Issobell Cootis,Bo'ness,-3.608911111,56.01681111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395376,Elspett Neilsoun,Dysart,-3.12538,56.12557,Female,NA,NA,NA,NA,NA,NA,NA
